test/loss,test/Accuracy,test/BalancedAccuracy
1.599629521369934,0.7457480430603027,0.7107481956481934
1.6054267883300781,0.7434419393539429,0.7106455564498901
1.5989654064178467,0.747477650642395,0.7139261960983276
1.6033039093017578,0.7417123317718506,0.7081922292709351
1.6042765378952026,0.747477650642395,0.7140920162200928
1.5986428260803223,0.7445949912071228,0.7121301889419556
1.6027628183364868,0.7492072582244873,0.7150622010231018
1.6018344163894653,0.7471894025802612,0.7159566879272461
1.5998210906982422,0.7509368658065796,0.7170185446739197
1.600628137588501,0.7440184354782104,0.7106373310089111
1.6013531684875488,0.7463245987892151,0.7133181095123291
1.6000850200653076,0.7494955062866211,0.7158119082450867
1.5992565155029297,0.7451715469360352,0.7120956778526306
1.5983647108078003,0.7477658987045288,0.71336829662323
1.6048767566680908,0.7471894025802612,0.7140527963638306
1.6001631021499634,0.7500720620155334,0.713907778263092
1.6021769046783447,0.7483424544334412,0.7153362035751343
1.6017811298370361,0.7460363507270813,0.7104893922805786
1.598103404045105,0.7469010949134827,0.711481511592865
1.6015485525131226,0.7463245987892151,0.7135215997695923
1.5995527505874634,0.7425771355628967,0.7100604176521301
1.6018683910369873,0.7451715469360352,0.7117983102798462
1.5984716415405273,0.748630702495575,0.7152641415596008
1.5960156917572021,0.7469010949134827,0.7124276757240295
1.600850224494934,0.7448832392692566,0.7119691371917725
1.6011757850646973,0.7437301874160767,0.7106658220291138
1.6019054651260376,0.7494955062866211,0.7173984050750732
1.5963003635406494,0.7497838139533997,0.7158061265945435
1.5967782735824585,0.7477658987045288,0.712240993976593
1.6051220893859863,0.7434419393539429,0.710553765296936
1.6007463932037354,0.7434419393539429,0.7098582983016968
1.5992220640182495,0.747477650642395,0.713665246963501
